YelidBrham,female,Gil,ShnatAliya,MatzavMishp,MispYeladim,Dat,SherutTzahal,SherutLeumi,RishyonNehiga,SugMeshekBait_C,Earners,health_problem,ShnotLimud,hebrew_proficiency,MaamadAvoda_C_wp,HekefMisra_C_wp,MerutzeAvoda_wp,work_income_level,HitnadvutShana,TrumaShana,AchrayutKesef,MenahelTazrim,MishtameshAppMaakav,HoraotKeva,HashkaotBank,HassachMezuman,HassachGmach,HashkaotShukHon,HashkaotMatbeotVirt,HashkaotAher,YedaHashkaa,SikunHashkaot,LoHosech,HeshbonotBazman,MatarotKaspiot,ShokelKniot,FinancialLiteracyScore,financial_risk_score
1,0,7,8.0,3,0.0,6.0,0.0,0.0,1.0,1,1,0.0,5.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,6,1.0
0,0,11,0.0,1,2.0,1.0,1.0,,1.0,3,0,1.0,5.0,5.0,4.0,3.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,,1.0,6,3.0
0,1,11,0.0,4,4.0,1.0,0.0,0.0,1.0,1,0,1.0,6.0,5.0,4.0,3.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,5.0,3,0.0
0,0,6,0.0,5,0.0,1.0,1.0,,1.0,3,1,0.0,4.0,5.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,3.0,1.0,3.0,5.0,3.0,3.0,0,0.0
0,0,5,0.0,1,4.0,1.0,1.0,,1.0,3,2,0.0,6.0,5.0,2.0,2.0,4.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,7,0.0
0,0,11,4.0,1,2.0,1.0,1.0,,1.0,3,0,1.0,5.0,4.0,4.0,3.0,5.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,5.0,7,0.0
0,0,3,0.0,5,1.0,1.0,1.0,,1.0,3,2,0.0,6.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,7,0.0
0,0,1,0.0,5,0.0,1.0,1.0,,1.0,4,2,0.0,4.0,5.0,1.0,,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,1.0,1.0,7,1.0
0,1,2,0.0,5,0.0,1.0,1.0,,1.0,1,1,0.0,5.0,5.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,5,5.0
0,0,5,0.0,3,3.0,1.0,1.0,,1.0,3,1,0.0,6.0,5.0,1.0,2.0,2.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,5.0,3.0,4.0,7,0.0
